email_subject,email_body,is_phishing
You've received a secure document,Your Amazon invoice for the recent purchase is attached.,1
Last Chance: Special Discount Inside,Your invoice payment is overdue. Please pay now.,0
Receipt for Your Payment,"Regarding your recent purchase, see the details.",0
New Sign-In from Unknown Device,Verify your email address to continue.,1
Verify Your Email Address,Request to reset your password. Click the link to proceed.,0
Job Application Status,We noticed an unusual login attempt. Please secure your account.,1
Verify Your Email Address,This is your last chance to get a special discount.,0
Invoice Payment Reminder,Immediate action required. Please update your details.,1
Limited Time Offer!,Please click the link below to verify your account.,0
Urgent: Account Verification Required,Your bank account has been suspended. Contact us immediately.,0
Verify Your Email Address,New sign-in detected from an unknown device. Verify if this was you.,0
Please Update Your Payment Information,Receipt for your recent payment is attached.,1
Package Delivery Notification,Thank you for your order. Your confirmation is attached.,1
Action Required: Update Your Info,You have been selected as a winner! Claim your prize now.,0
You've received a secure document,Your package is on its way. Track your delivery.,0
Verify Your Email Address,Your invoice payment is overdue. Please pay now.,0
Re: Your Recent Purchase,Thank you for your order. Your confirmation is attached.,1
Job Application Status,Request to reset your password. Click the link to proceed.,0
